"","Ecode","Authority","Class","...4","1. Council Tax Requirement for billing authority including special expenses, local precepts and Adult Social Care Precept.","...6","2. Parish precepts","...8","3. Council Tax Requirement for billing authority (including special expenses and Adult Social Care precept, but excluding local precepts)","...10","3a. Levies and special levies","...12","4. Tax base (after council tax reduction scheme)","...14","5. Estimated collection rate (%)","...16","6. Tax base adjustment (contributions in lieu of Class O exempt dwellings)","...18","7. Council tax base for council tax setting purposes","...20","8. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and local precepts)","...22","9. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and excluding local precepts)","...24","10. Total Adult Social Care precept","11a. Adult Social Care precept element of the 2019-20 Average (Band D 2 Adult equivalent) council tax (£)","11b. Adult Social Care precept as a percentage of the 2018-19 Average Band D 2 Adult equivalent council tax, excluding local precepts, (maximum 2%)","14. Is the council tax your authority set subject to a referendum?","15. Are one or more precepting authorities in your area holding a referendum?","16. Average council tax of major precepting authorities in the billing authority's area","...31","...32","...33","17. Average (Band D 2 adult equivalent) council tax for area of the billing authority including both local and major precepts.  (Lines 8+ 16(a) + 16(b) + 16(c) +16(d))","18. All parishes that exist in the authority's area in 2019-20 (whether they set a precept or not)","...36","19. Charter Trustees in the authority's area - 2019-20","...38","20. Precepting parishes, Charter Trustees and Temples in the authority's area setting a precept in 2019-20","...40","12. How do you wish to apply the referendum priniciples?","Local authority...42","Taxbase for setting council tax...43","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...44","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...45","Total Adult Social Care precept...46","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...47","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...48","Local authority...49","Taxbase for setting council tax...50","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...51","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...52","Total Adult Social Care precept...53","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...54","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...55","Local authority...56","Taxbase for setting council tax...57","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...58","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...59","Total Adult Social Care precept...60","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...61","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...62","Local authority...63","Taxbase for setting council tax...64","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...65","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...66","Total Adult Social Care precept...67","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...68","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...69","Local authority...70","Taxbase for setting council tax...71","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...72","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...73","Total Adult Social Care precept...74","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...75","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...76","Local authority...77","Taxbase for setting council tax...78","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...79","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...80","Total Adult Social Care precept...81","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...82","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...83"
"352","E6113","Durham Combined Fire Authority","CFA",NA,"17170001","17865393.75","-","-","17170001","17865393.75","0","0","-","-","-","-","-","-","170794.8","172612.5","100.53","103.5","100.53","103.5",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"353","E7013","Durham Police and Crime Commissioner and Chief Constable","PCC",NA,"30954741","35426990","-","-","30954741","35426990","0","0","-","-","-","-","-","-","170794.8","172612.5","181.24","205.24","181.24","205.24",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"354","E1421","East Sussex","SC",NA,"276720377","287676260","-","-","276720377","287676260","615124","598630","-","-","-","-","-","-","198634.98","200502","1393.11","1434.78","1393.11","1434.78",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"355","E6114","East Sussex Combined Fire Authority","CFA",NA,"26172635","27214930","-","-","26172635","27214930","0","0","-","-","-","-","-","-","287611.40000000002","290540.5","91","93.67","91","93.67",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"356","E1521","Essex","SC",NA,"635552749","671314775","-","-","635552749","671314775","3397170","3366320","-","-","-","-","-","-","520198.7","528411.24","1221.75","1270.44","1221.75","1270.44",6420197,"12.15","0.99447513812154709","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"357","E6115","Essex PCC-Fire","CFA",NA,"44240882","46232785","-","-","44240882","46232785","0","0","-","-","-","-","-","-","628600.19999999995","638133.68000000005","70.38","72.45","70.38","72.45",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"358","E7015","Essex Police","PCC",NA,"106246010.87","123134274","-","-","106246010.87","123134274","0","0","-","-","-","-","-","-","628600.19999999995","638133.68000000005","169.02","192.96","169.02","192.96",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"359","E1620","Gloucestershire","SC",NA,"277551416","297755223","-","-","277551416","297755223","0","0","-","-","-","-","-","-","225246.6","230157.86","1232.21","1293.7","1232.21","1293.7",5671090,"24.64","1.9996591490086917","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"360","E7016","Gloucestershire Police and Crime Commissioner and Chief Constable","PCC",NA,"51016105","57652242","-","-","51016105","57652242","0","0","-","-","-","-","-","-","225246.61","230157.86","226.49","250.49","226.49","250.49",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"361","E1721","Hampshire","SC",NA,"608452464.86000001","635828608.05999994","-","-","608452464.86000001","635828608.05999994","1147878","1178065","-","-","-","-","-","-","506638.41","514062.6","1200.96","1236.8699999999999","1200.96","1236.8699999999999",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"362","E6117","Hampshire Combined Fire Authority","CFA",NA,"41208514.850000001","43070127.869999997","-","-","41208514.850000001","43070127.869999997","0","0","-","-","-","-","-","-","626840.81000000006","636097","65.739999999999995","67.709999999999994","65.739999999999995","67.709999999999994",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"363","E7052","Hampshire Police and Crime Commissioner and Chief Constable","PCC",NA,"120644195.22","138927823.30000001","-","-","120644195.22","138927823.30000001","0","0","-","-","-","-","-","-","679838.81","689605","177.46","201.46","177.46","201.46",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"364","E6118","Hereford & Worcester Combined Fire Authority","CFA",NA,"22575808","23494120","-","-","22575808","23494120","0","0","-","-","-","-","-","-","275650.89","278564.53999999998","81.900000000000006","84.34","81.900000000000006","84.34",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"365","E1920","Hertfordshire","SC",NA,"582977082","607961109","-","-","582977082","607961109","2045720","2062800","-","-","-","-","-","-","441495.5","447050","1320.46","1359.94","1320.46","1359.94",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"366","E7019","Hertfordshire Police and Crime Commissioner and Chief Constable","PCC",NA,"72405253.799999997","84045391","-","-","72405253.799999997","84045391","0","0","-","-","-","-","-","-","441495.14500000002","447050","164","188","164","188",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"367","E6120","Humberside Combined Fire Authority","CFA",NA,"21972512","22992612","-","-","21972512","22992612","0","0","-","-","-","-","-","-","266301.2","270692.40000000002","82.51","84.94","82.51","84.94",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"368","E7020","Humberside Police and Crime Commissioner and Chief Constable","PCC",NA,"53079155","60448342","-","-","53079155","60448342","0","0","-","-","-","-","-","-","266301.2","270692.5","199.32","223.31","199.32","223.31",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"369","E2221","Kent","SC",NA,"665735336","709996344","-","-","665735336","709996344","782950","803966","-","-","-","-","-","-","537889.71","546394.81000000006","1237.68","1299.42","1237.68","1299.42",13474096,"24.66","1.9924374636416522","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"370","E6122","Kent Combined Fire Authority","CFA",NA,"46908696","49060965","-","-","46908696","49060965","0","0","-","-","-","-","-","-","621224.9","630928","75.510000000000005","77.760000000000005","75.510000000000005","77.760000000000005",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"371","E7022","Kent Police and Crime Commissioner and Chief Constable","PCC",NA,"105080196","121863750.93000001","-","-","105080196","121863750.93000001","0","0","-","-","-","-","-","-","621224.92000000004","630928.04","169.15","193.15","169.15","193.15",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"372","E2321","Lancashire","SC",NA,"468531375","493898429","-","-","468531375","493898429","898945","918822.27160417079","-","-","-","-","-","-","361822.64","366777.1","1294.92","1346.59","1294.92","1346.59",4749763,"12.95","1.0000617798782936","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"373","E6123","Lancashire Combined Fire Authority","CFA",NA,"29168595","30441814","-","-","29168595","30441814","0","0","-","-","-","-","-","-","432384","438138","67.459999999999994","69.48","67.459999999999994","69.48",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"374","E7023","Lancashire Police and Crime Commissioner and Chief Constable","PCC",NA,"76726463","88262834","-","-","76726463","88262834","0","0","-","-","-","-","-","-","432383.6","438137.7","177.45","201.45","177.45","201.45",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"375","E2421","Leicestershire","SC",NA,"285475450","301622720","-","-","285475450","301622720","291741","296495","-","-","-","-","-","-","229740.15","233421.4","1242.5999999999999","1292.18","1242.5999999999999","1292.18",2900494,"12.43","1.0003219056816353","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"376","E6124","Leicestershire Combined Fire Authority","CFA",NA,"20492689","21512439","-","-","20492689","21512439","0","0","-","-","-","-","-","-","316685.05","322815.71000000002","64.709999999999994","66.64","64.709999999999994","66.64",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"377","E7024","Leicestershire Police and Crime Commissioner and Chief Constable","PCC",NA,"63093226","72062209","-","-","63093226","72062209","0","0","-","-","-","-","-","-","316685.05","322815.68","199.23","223.23","199.23","223.23",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"378","E2520","Lincolnshire","SC",NA,"278152080","296718510.19999999","-","-","278152080","296718510.19999999","1096673","1150592","-","-","-","-","-","-","225870","229587.20000000001","1231.47","1292.4000000000001","1231.47","1292.4000000000001",5654595,"24.63","2.0000487222587635","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"379","E7025","Lincolnshire Police and Crime Commissioner and Chief Constable","PCC",NA,"49113164.100000001","55417760.75","-","-","49113164.100000001","55417760.75","0","0","-","-","-","-","-","-","225869.96","229587.21","217.44","241.38","217.44","241.38",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"380","E6349","Liverpool City Region Combined Authority","CA",NA,"0","7706856","-","-","0","7706856","0","0","-","-","-","-","-","-","0","405624","0","19","0","19",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"381","E6143","Merseyside Fire & CD Authority","MF",NA,"27946117","29223959","-","-","27946117","29223959","0","0","-","-","-","-","-","-","365022.43","370674.27","76.56","78.84","76.56","78.84",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"382","E7043","Merseyside Police and Crime Commissioner and Chief Constable","PCC",NA,"64963040","74865080","-","-","64963040","74865080","0","0","-","-","-","-","-","-","365022.43","370674.3","177.97","201.97","177.97","201.97",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"383","E2620","Norfolk","SC",NA,"383140517","402361151","-","-","383140517","402361151","1391505","1487901","-","-","-","-","-","-","289658.90000000002","295367.3","1322.73","1362.24","1322.73","1362.24",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"384","E7026","Norfolk Police and Crime Commissioner and Chief Constable","PCC",NA,"66372440","74751557","-","-","66372440","74751557","0","0","-","-","-","-","-","-","289658.90000000002","295367.3","229.14","253.08","229.14","253.08",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"385","E2721","North Yorkshire","SC",NA,"287757994","305852694","-","-","287757994","305852694","611161","626094","-","-","-","-","-","-","230418.38","233268.8","1248.8499999999999","1311.16","1248.8499999999999","1311.16",5824721.4366,"24.97","1.9994394843255798","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"386","E6127","North Yorkshire PCC-FRA","CFA",NA,"20558595","21450480","-","-","20558595","21450480","0","0","-","-","-","-","-","-","297089.5","300974.88","69.2","71.27","69.2","71.27",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"387","E7027","North Yorkshire Police and Crime Commissioner and Chief Constable","PCC",NA,"69168385","76980345","-","-","69168385","76980345","0","0","-","-","-","-","-","-","297089.5","300974.88","232.82","255.77","232.82","255.77",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"388","E2820","Northamptonshire","SC",NA,"296205338.81","303329298.39999998","-","-","296205338.81","303329298.39999998","662679","667483","-","-","-","-","-","-","239580.49","245392.2","1177.3499999999999","1236.0999999999999","1177.3499999999999","1236.0999999999999",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"389","E6128","Northamptonshire PCC-FRA","CFA",NA,"0","14910030","-","-","0","14910030","0","0","-","-","-","-","-","-","0","245392.2","59","60.76","59","60.76",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"390","E7028","Northamptonshire Police and Crime Commissioner and Chief Constable","PCC",NA,"52956872","60130905","-","-","52956872","60130905","0","0","-","-","-","-","-","-","239580.49","245392.2","221.04","245.04","221.04","245.04",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"391","E7045","Northumbria Police and Crime Commissioner and Chief Constable","PCC",NA,"42721994","52768895","-","-","42721994","52768895","0","0","-","-","-","-","-","-","387220.09","392830.31","110.33","134.33000000000001","110.33","134.33000000000001",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"392","E3021","Nottinghamshire","SC",NA,"351016650","369294877","-","-","351016650","369294877","283906","288398","-","-","-","-","-","-","247294.1","250189.6","1419.43","1476.06","1419.43","1476.06",3550191,"14.19","0.99969706149651616","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"393","E6130","Nottinghamshire Combined Fire Authority","CFA",NA,"24236066","25293058","-","-","24236066","25293058","0","0","-","-","-","-","-","-","312683.09000000003","316955.61","77.510000000000005","79.8","77.510000000000005","79.8",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"394","E7030","Nottinghamshire Police and Crime Commissioner and Chief Constable","PCC",NA,"61095149","69517873.950000003","-","-","61095149","69517873.950000003","0","0","-","-","-","-","-","-","312683.09999999998","316955.61","195.39","219.33","195.39","219.33",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"395","E3120","Oxfordshire","SC",NA,"352041895","369064777","-","-","352041895","369064777","558609","570360","-","-","-","-","-","-","246840.8","251264.5","1426.19","1468.83","1426.19","1468.83",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"396","E6350","Sheffield City Region Combined Authority","CA",NA,"0","0","-","-","0","0","0","0","-","-","-","-","-","-","0","0","0","0","0","0",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"397","E6132","Shropshire Combined Fire Authority","CFA",NA,"15445463","16228512","-","-","15445463","16228512","0","0","-","-","-","-","-","-","158675.4","161880.4","97.34","100.25","97.34","100.25",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"398","E3320","Somerset","SC",NA,"232756900","245954800","-","-","232756900","245954800","0","0","-","-","-","-","-","-","195239.62","198393.8","1192.1600000000001","1239.73","1192.1600000000001","1239.73",2364854.1,"11.92","0.9998657898268688","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"399","E6144","South Yorkshire Fire & CD Authority","MF",NA,"24761914","26025645","-","-","24761914","26025645","0","0","-","-","-","-","-","-","348710.14","355881.9","71.010000000000005","73.13","71.010000000000005","73.13",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"400","E7044","South Yorkshire Police and Crime Commissioner and Chief Constable","PCC",NA,"59336535","69098034.939999998","-","-","59336535","69098034.939999998","0","0","-","-","-","-","-","-","348710.24","355881.93","170.16","194.16","170.16","194.16",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"401","E3421","Staffordshire","SC",NA,"336534329","351078108","-","-","336534329","351078108","0","0","-","-","-","-","-","-","278008.09999999998","281712.13","1210.52","1246.23","1210.52","1246.23",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"402","E6134","Staffordshire PCC-FRA","CFA",NA,"25109427","26246521","-","-","25109427","26246521","0","0","-","-","-","-","-","-","341485","346580.23","73.53","75.73","73.53","75.73",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"403","E7034","Staffordshire Police and Crime Commissioner and Chief Constable","PCC",NA,"65756442.100000001","75055414.609999999","-","-","65756442.100000001","75055414.609999999","0","0","-","-","-","-","-","-","341485.47","346580.23","192.56","216.56","192.56","216.56",0,"0","0","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"404","E3520","Suffolk","SC",NA,"307329906","323464821","-","-","307329906","323464821","1019465","1083380","-","-","-","-","-","-","247340.05","250334.58","1242.54","1292.1300000000001","1242.54","1292.1300000000001",3111658.8294,"12.43","1.0003702094097575","No","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
