ecode,onscode,authority.x,region,class.x,tstb_1516,tstb_1617,tstb_1718,tstb_1819,tstb_1920,tstb_2021,tstb_2122,tstb_2223,tstb_2324
E1032,E07000033,Bolsover,EM,SD,20166.2,20617.5,21040.9,21473.5,21982.9,22169.599999999999,22026.3,22443.3,22900.7
E4201,E08000001,Bolton,NW,MD,70176,71395.899999999994,74472.2,74822,75487.399999999994,76173.399999999994,76281.2,77795.34,78820.4
E2531,E07000136,Boston,EM,SD,17772.400000000001,17967.099999999999,18320.8,18713.599999999999,19133.900000000001,19252.900000000001,19621.7,20051,20274
E1204,E06000058,"Bournemouth, Christchurch & Poole",SW,UA,NA,NA,NA,NA,141772,142996.20000000001,139170.5,142813.95379999999,144838.7
E0301,E06000036,Bracknell Forest,SE,UA,42695,43772,44581,45298,45573,46816,47624,48249,48756
E4701,E08000032,Bradford,YH,MD,130280,133505,136252,140348,142200,144350,142000,143419.98509999999,143920
E1532,E07000067,Braintree,E,SD,49742,50667,51547,51980,52521,53373,53721,54957.021999999997,55801
E2631,E07000143,Breckland,E,SD,39654.400000000001,41111.800000000003,41991.1,42806,43479.8,44013.2,44446.3,45031.4,45925.2
E5033,E09000005,Brent,L,OLB,82799,89254.399999999994,93319,95677.4,96639,97605,98450,98730,101187
E1533,E07000068,Brentwood,E,SD,31155.599999999999,31790,32084.1,32592.6,32863.199999999997,32968,33250.300000000003,33171.9,33870
E1401,E06000043,Brighton & Hove,SE,UA,83633.5,86173,87388.800000000003,88976.4,90038.5,90722.8,89493,91203.985000000001,91986.3
E0102,E06000023,Bristol,SW,UA,119115.8,120946.1,124082.7,125797.5,126999.3,128566,127950,127917,129654
E2632,E07000144,Broadland,E,SD,43304.5,44666,45122,45735,46065,46430,46660,47457,48127
E5034,E09000006,Bromley,L,OLB,125130,126656,128523,130004,131428,132026,132026,133347,134093
E1831,E07000234,Bromsgrove,WM,SD,34907.800000000003,35404.9,36056.699999999997,36531.1,36714.199999999997,37209,37186.6,37511,37919.5
E1931,E07000095,Broxbourne,E,SD,33655,34023.4,34463.199999999997,34639.5,35026,35446.6,34333.1,35722.078000000001,36137.2
E3033,E07000172,Broxtowe,EM,SD,32400.6,32806.6,33126.800000000003,33448.300000000003,33674.9,34039.199999999997,34217.5,34530,34861.9
E2333,E07000117,Burnley,NW,SD,21630,22071,22579,23118,23191,23384,23268,23487,23544
E4202,E08000002,Bury,NW,MD,51227.9,51900,52350,52850,53600,55222.1,53828.1,55611.4,56708.4
E0402,E06000060,Buckinghamshire,SE,UA,NA,NA,NA,NA,NA,223990,222433.1,225030.7,228998
E4702,E08000033,Calderdale,YH,MD,58325.7,59212.1,59916.6,60864.3,61993.9,62717.2,61488,62507.1,63146.6
E0531,E07000008,Cambridge,E,SD,39946.199999999997,40932.1,41977.2,42988.6,43685.3,44450.9,43530.5,44099.6,44837.4
E5011,E09000007,Camden,L,ILB,85170,88000,88450,89000,90500,92700,88125,90218.996499999994,92555
E3431,E07000192,Cannock Chase,WM,SD,26902.9,27148.9,27571.9,28396.799999999999,28874.5,29242.5,29136.799999999999,29458.1,29851.1
E2232,E07000106,Canterbury,SE,SD,47210.3,47947.4,48906.7,49664.9,50206.549999999996,51300.4,49624.38,51259.816200000001,52372.8
E1534,E07000069,Castle Point,E,SD,29314,29722,30077,30443,30787,30969,30965,31181.474999999999,31258
E0203,E06000056,Central Bedfordshire,E,UA,93392,95945,98104,99951,102362,105134,106698,109359.954,111606
E2432,E07000130,Charnwood,EM,SD,52291.3,53538.8,54583.5,55525.8,56462.400000000001,57607.199999999997,58286.9,58819,59186.3
E1535,E07000070,Chelmsford,E,SD,62381.599999999999,63233.9,64395.199999999997,65494.6,66672.3,68251.7,68579.8,70141.651660000003,70762.9
E1631,E07000078,Cheltenham,SW,SD,39787.1,40395.300000000003,41041.300000000003,41745.199999999997,42648.2,43144.5,42970.6,43423.7958,43650
E3131,E07000177,Cherwell,SE,SD,48253,50357.1,51639.5,52681.599999999999,53876.9,55559.9,55615.9,56801.599999999999,58184.3
E0603,E06000049,Cheshire East,NW,UA,138764.5,142186.6,144201.5,147003.79999999999,149517.5,152597.79999999999,153796.1,156607.50599999999,158778.5
E0604,E06000050,Cheshire West and Chester,NW,UA,112869,115125,116329,118511.5,121757.6,123713.3,122724.3,125464.57550000001,127573.9
E1033,E07000034,Chesterfield,EM,SD,27781.599999999999,28271.599999999999,28507.9,28769.1,29000.6,29181.1,29269,29858.07675,30222.4
E3833,E07000225,Chichester,SE,SD,50504.2,51237.9,51918.400000000001,52804.3,53339.6,54133.3,53983.8,55043.6,56330.1
E2334,E07000118,Chorley,NW,SD,34504.300000000003,35181.699999999997,35933.599999999999,36614.199999999997,37134.400000000001,37438.5,37476.199999999997,38108,38342.5
E5010,E09000001,City of London,L,ILB,6239.6,7042,7060.4,7211,7785,8149.2,8169.6,8317.2999999999993,8862.9
E1536,E07000071,Colchester,E,SD,59547.199999999997,60495.6,61132.2,61960,63331,63932.800000000003,62776.4,64730.55,65865.1
E0801,E06000052,Cornwall,SW,UA,179844.7,182547.6,185757.1,191398.39999999999,194262,197359.4,195849,203074.61919999999,206062.3
E1632,E07000079,Cotswold,SW,SD,37250.5,38418.1,39045.5,40297.800000000003,41683.1,41817.599999999999,41848.199999999997,42192.923199999997,42374.2
E4602,E08000026,Coventry,WM,MD,74296.2,77525.100000000006,78971.899999999994,80815.399999999994,83400.100000000006,83905.5,82717.100000000006,84264.3,86075.2
